fam,tf,period,mult,side,n_tr_months,total_all,mean_in_bleed,mean_normal,hedge_edge,wr_bleed,mIS,mOOS,tot_bleed,squeeze
bb,D1,20,1.5,long,120,-14810.295059379216,-46.88463588914211,-138.25717705707228,91.37254116793017,0.38095238095238093,119.08872458210845,-229.45533240751774,-984.5773536719844,
bb,D1,20,1.5,short,120,-23158.062768013144,-44.207939425912365,-222.2969604006898,178.08902097477744,0.5238095238095238,-18.260579283203864,-72.75003558289173,-928.3667279441597,
bb,D1,20,2.0,both,120,-28899.172777834123,-16.434884828680794,-285.5404019643182,269.10551713563746,0.5238095238095238,134.46969892893296,-182.42992696205593,-345.13258140229664,
bb,D1,20,2.0,long,120,-10252.013863799319,-13.283404616972152,-99.73062366842903,86.44721905145688,0.42857142857142855,138.615430100268,-180.3721228059363,-278.9514969564152,
bb,D1,20,2.0,short,120,-18668.184198478957,3.225245593875592,-187.35914355950342,190.58438915337902,0.42857142857142855,-1.8564920739165907,8.815157028446993,67.73015747138743,
bb,D1,20,2.5,both,119,-18376.47571232584,-175.62669535369375,-146.88315109898278,-28.74354425471097,0.38095238095238093,-159.01018063119855,-193.90486154843848,-3688.160602427569,
bb,D1,20,2.5,long,118,-4542.02781927869,-42.08015607882442,-36.58344541623377,-5.496710662590651,0.38095238095238093,-27.331290909419707,-58.303907765169605,-883.6832776553128,
bb,D1,20,2.5,short,117,-13782.710440519337,-136.59645290507902,-109.14184929512678,-27.454603609952244,0.2857142857142857,-131.84447968285102,-141.8236234495298,-2868.525511006659,
bb,D1,20,3.0,both,103,-5669.1951771302065,-135.51731342816268,-28.233315951387905,-107.28399747677477,0.2857142857142857,-264.8360490678708,6.733295775516308,-2845.863581991416,
bb,D1,20,3.0,long,76,-1899.0299747334884,-104.44659027880672,2.943484211214527,-107.39007449002125,0.14285714285714285,-182.61098310632804,-18.465758168533284,-2193.378395854941,
bb,D1,20,3.0,short,78,-3751.5702749807715,-31.394009270631397,-30.922960802975123,-0.4710484676562743,0.23809523809523808,-81.85854402361093,24.116978957646097,-659.2741946832593,
bb,D1,40,1.5,both,120,-32539.173107678882,-91.1946719258594,-306.2408499723584,215.046178046499,0.42857142857142855,57.162714830481406,-254.38779735783427,-1915.0881104430473,
bb,D1,40,1.5,long,120,-12417.955830158975,7.1111044769353,-125.67289024174613,132.78399471868144,0.38095238095238093,58.13747882941689,-49.017907310794456,149.3331940156413,
bb,D1,40,1.5,short,119,-20551.6409476955,-95.33356897221087,-185.49635999279067,90.1627910205798,0.42857142857142855,-12.4177138757631,-186.54100957830343,-2002.0049484164283,
bb,D1,40,2.0,both,119,-31873.874349273694,-135.3163100298667,-290.32231838646493,155.00600835659822,0.42857142857142855,-67.80987768785168,-209.57338560608324,-2841.642510627201,
