instr,entry,dir,horizon,mae_sigma,win,ret,z_entry,bars_held
AUDNZD,2022-04-13 04:00:00+00:00,-1,8,3.181981184669951,True,2.0167274788230997e-05,2.648896290600048,43
AUDNZD,2022-07-27 08:00:00+00:00,-1,1,0.8342044526034138,True,0.004180130579449049,2.387433221729686,7
AUDNZD,2022-07-27 08:00:00+00:00,-1,2,1.6135468817687713,True,0.004180130579449049,2.387433221729686,7
AUDNZD,2022-07-27 08:00:00+00:00,-1,4,1.9863450718315148,True,0.004180130579449049,2.387433221729686,7
AUDNZD,2022-07-27 08:00:00+00:00,-1,8,1.9863450718315148,True,0.004180130579449049,2.387433221729686,7
AUDNZD,2022-08-26 04:00:00+00:00,-1,1,0.7475573164420002,True,0.004983569085865786,2.0166901011338085,16
AUDNZD,2022-08-26 04:00:00+00:00,-1,2,1.6764766943409797,True,0.004983569085865786,2.0166901011338085,16
AUDNZD,2022-08-26 04:00:00+00:00,-1,4,1.6764766943409797,True,0.004983569085865786,2.0166901011338085,16
AUDNZD,2022-08-26 04:00:00+00:00,-1,8,1.6764766943409797,True,0.004983569085865786,2.0166901011338085,16
AUDNZD,2022-09-13 08:00:00+00:00,-1,1,1.5337279432304736,True,0.0018376027641803854,2.3819889242616394,19
AUDNZD,2022-09-13 08:00:00+00:00,-1,2,1.5337279432304736,True,0.0018376027641803854,2.3819889242616394,19
AUDNZD,2022-09-13 08:00:00+00:00,-1,4,1.5337279432304736,True,0.0018376027641803854,2.3819889242616394,19
AUDNZD,2022-09-13 08:00:00+00:00,-1,8,1.5337279432304736,True,0.0018376027641803854,2.3819889242616394,19
AUDNZD,2022-09-19 16:00:00+00:00,-1,1,0.8381513910726717,False,-0.008674943304642507,2.0828214305670403,44
AUDNZD,2022-09-19 16:00:00+00:00,-1,2,3.134804454495603,False,-0.008674943304642507,2.0828214305670403,44
AUDNZD,2022-09-19 16:00:00+00:00,-1,4,5.715212016584767,False,-0.008674943304642507,2.0828214305670403,44
AUDNZD,2022-09-19 16:00:00+00:00,-1,8,5.724642256017726,False,-0.008674943304642507,2.0828214305670403,44
AUDNZD,2022-10-31 12:00:00+00:00,1,1,0.8504529572727912,False,-0.0063042015104297355,2.060983879117874,40
AUDNZD,2022-10-31 12:00:00+00:00,1,2,0.8504529572727912,False,-0.0063042015104297355,2.060983879117874,40
AUDNZD,2022-10-31 12:00:00+00:00,1,4,3.1487036301561324,False,-0.0063042015104297355,2.060983879117874,40
AUDNZD,2022-10-31 12:00:00+00:00,1,8,4.535250643442198,False,-0.0063042015104297355,2.060983879117874,40
AUDNZD,2022-12-16 04:00:00+00:00,1,1,0.7603918006913332,True,0.002329194462642897,2.2683034564136313,18
AUDNZD,2022-12-16 04:00:00+00:00,1,2,2.399522252923434,True,0.002329194462642897,2.2683034564136313,18
AUDNZD,2022-12-16 04:00:00+00:00,1,4,3.348286243865136,True,0.002329194462642897,2.2683034564136313,18
AUDNZD,2022-12-16 04:00:00+00:00,1,8,3.348286243865136,True,0.002329194462642897,2.2683034564136313,18
AUDNZD,2023-01-13 04:00:00+00:00,-1,1,0.4395172381531873,True,0.0039887050465516145,2.517363691805643,13
AUDNZD,2023-01-13 04:00:00+00:00,-1,2,0.6084661185558446,True,0.0039887050465516145,2.517363691805643,13
AUDNZD,2023-01-13 04:00:00+00:00,-1,4,0.8704087102534032,True,0.0039887050465516145,2.517363691805643,13
AUDNZD,2023-01-13 04:00:00+00:00,-1,8,2.1146684388148156,True,0.0039887050465516145,2.517363691805643,13
AUDNZD,2023-03-10 16:00:00+00:00,1,1,0.38831371997698866,True,0.002844863474172129,2.15459620379319,21
AUDNZD,2023-03-10 16:00:00+00:00,1,2,0.38831371997698866,True,0.002844863474172129,2.15459620379319,21
AUDNZD,2023-03-10 16:00:00+00:00,1,4,0.38831371997698866,True,0.002844863474172129,2.15459620379319,21
AUDNZD,2023-03-10 16:00:00+00:00,1,8,2.210131535058374,True,0.002844863474172129,2.15459620379319,21
AUDNZD,2023-04-20 16:00:00+00:00,-1,1,0.19589102508852874,True,0.005390214105195733,2.0998345888312757,13
AUDNZD,2023-04-20 16:00:00+00:00,-1,2,0.19589102508852874,True,0.005390214105195733,2.0998345888312757,13
AUDNZD,2023-04-20 16:00:00+00:00,-1,4,0.5085800141862085,True,0.005390214105195733,2.0998345888312757,13
AUDNZD,2023-04-20 16:00:00+00:00,-1,8,0.6162945847446086,True,0.005390214105195733,2.0998345888312757,13
AUDNZD,2023-09-15 16:00:00+00:00,-1,1,-0.1044493263052492,True,0.00234270646213333,2.0190277532628924,7
AUDNZD,2023-09-15 16:00:00+00:00,-1,2,0.6817255560744279,True,0.00234270646213333,2.0190277532628924,7
AUDNZD,2023-09-15 16:00:00+00:00,-1,4,0.6817255560744279,True,0.00234270646213333,2.0190277532628924,7
AUDNZD,2023-09-15 16:00:00+00:00,-1,8,0.6817255560744279,True,0.00234270646213333,2.0190277532628924,7
AUDNZD,2023-09-26 08:00:00+00:00,1,1,0.063569516999025,False,-0.00815311950208257,2.0128836578085036,71
AUDNZD,2023-09-26 08:00:00+00:00,1,2,0.063569516999025,False,-0.00815311950208257,2.0128836578085036,71
AUDNZD,2023-09-26 08:00:00+00:00,1,4,0.13037425210043188,False,-0.00815311950208257,2.0128836578085036,71
